timestamp,src_ip,dst_ip,icmp_type,icmp_code,frame_length,ttl,label
1786194673.4287534,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194673.4288402,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194673.6402347,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194673.640442,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194673.791014,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194673.7912383,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194673.912315,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194673.9123948,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194674.0204897,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194674.0205808,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194674.156408,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194674.1564991,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194674.3422465,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194674.3423324,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194674.4484127,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194674.4485054,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194674.5052063,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194674.5052865,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194674.5504527,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194674.5505552,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194674.6192737,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194674.619356,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194674.7875476,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194674.787784,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
